codMunicipio,computadoresAlunos,internet,bandaLarga,datashows,televisores,laboratorioInformatica,salasUtilizadas,ano
3205200,16.549999237060547,0.7200000286102295,0.6299999952316284,1.5499999523162842,2.3399999141693115,0.5600000023841858,8.649999618530273,2013
3205309,17.649999618530273,0.7300000190734863,0.6700000166893005,2.1700000762939453,2.3499999046325684,0.6200000047683716,9.270000457763672,2013
3200300,2.7699999809265137,0.10999999940395355,0.05999999865889549,0.25,0.8199999928474426,0.17000000178813934,1.7899999618530273,2013
3200409,4.329999923706055,0.30000001192092896,0.2199999988079071,0.7699999809265137,1.1699999570846558,0.38999998569488525,4.570000171661377,2013
3202405,8.369999885559082,0.4099999964237213,0.3400000035762787,0.6399999856948853,1.3700000047683716,0.46000000834465027,6.449999809265137,2013
3202603,3.8399999141693115,0.23999999463558197,0.20999999344348907,0.23999999463558197,0.7900000214576721,0.23999999463558197,2.130000114440918,2013
3204203,9.239999771118164,0.5600000023841858,0.4000000059604645,1.2000000476837158,1.3600000143051147,0.4399999976158142,5.199999809265137,2013
3204401,3.3399999141693115,0.3100000023841858,0.20999999344348907,0.4099999964237213,1.1699999570846558,0.23999999463558197,3.069999933242798,2013
3200201,4.420000076293945,0.14000000059604645,0.11999999731779099,0.699999988079071,1.2300000190734863,0.18000000715255737,2.640000104904175,2013
3201803,0.8500000238418579,0.11999999731779099,0.029999999329447746,0.11999999731779099,0.3199999928474426,0.05999999865889549,0.8500000238418579,2013
3202009,3.740000009536743,0.17000000178813934,0.03999999910593033,0.2199999988079071,0.6100000143051147,0.12999999523162842,2.259999990463257,2013
3202306,3.2200000286102295,0.30000001192092896,0.2800000011920929,0.3700000047683716,1.149999976158142,0.2199999988079071,3.680000066757202,2013
3202454,3.4100000858306885,0.20000000298023224,0.11999999731779099,0.2199999988079071,0.5299999713897705,0.25,2.7100000381469727,2013
3202553,1.9600000381469727,0.07000000029802322,0.03999999910593033,0.10999999940395355,0.49000000953674316,0.10999999940395355,1.7799999713897705,2013
3202652,2.5,0.36000001430511475,0.10999999940395355,0.25,0.6399999856948853,0.20999999344348907,3.180000066757202,2013
3203007,3.430000066757202,0.4300000071525574,0.30000001192092896,0.33000001311302185,0.5899999737739563,0.2199999988079071,2.9800000190734863,2013
3203700,1.9199999570846558,0.20000000298023224,0.07000000029802322,0.23000000417232513,0.6499999761581421,0.14000000059604645,2.0299999713897705,2013
3200508,1.9600000381469727,0.14000000059604645,0.07000000029802322,0.14000000059604645,0.6800000071525574,0.10999999940395355,2.2899999618530273,2013
3200706,8.119999885559082,0.7099999785423279,0.18000000715255737,0.5899999737739563,1.4700000286102295,0.7099999785423279,5.53000020980835,2013
3201100,3.740000009536743,0.41999998688697815,0.3700000047683716,0.3199999928474426,0.6299999952316284,0.20999999344348907,4.0,2013
3201209,9.670000076293945,0.5899999737739563,0.5199999809265137,0.9599999785423279,1.840000033378601,0.4399999976158142,6.46999979019165,2013
3201407,4.039999961853027,0.4300000071525574,0.3700000047683716,0.4699999988079071,0.9399999976158142,0.25,4.440000057220459,2013
3203106,3.75,0.25,0.20999999344348907,0.18000000715255737,0.6100000143051147,0.14000000059604645,2.7100000381469727,2013
3203403,2.3399999141693115,0.10999999940395355,0.03999999910593033,0.12999999523162842,0.30000001192092896,0.10999999940395355,1.7100000381469727,2013
3203809,3.0899999141693115,0.3799999952316284,0.09000000357627869,0.3799999952316284,0.9399999976158142,0.2800000011920929,3.1600000858306885,2013
3204807,1.6699999570846558,0.10000000149011612,0.10000000149011612,0.05000000074505806,0.33000001311302185,0.10000000149011612,1.6699999570846558,2013
3205036,4.690000057220459,0.46000000834465027,0.03999999910593033,0.3100000023841858,0.8500000238418579,0.23999999463558197,2.700000047683716,2013
3202801,2.4700000286102295,0.12999999523162842,0.05999999865889549,0.23000000417232513,0.699999988079071,0.12999999523162842,3.009999990463257,2013
3203320,2.4200000762939453,0.20000000298023224,0.17000000178813934,0.28999999165534973,0.7400000095367432,0.18000000715255737,4.079999923706055,2013
3204302,3.740000009536743,0.28999999165534973,0.10999999940395355,0.3100000023841858,0.8600000143051147,0.20000000298023224,2.890000104904175,2013
3300605,4.320000171661377,0.3199999928474426,0.27000001072883606,0.33000001311302185,0.949999988079071,0.30000001192092896,4.429999828338623,2013
3302056,6.46999979019165,0.4699999988079071,0.4099999964237213,1.059999942779541,1.5299999713897705,0.5299999713897705,7.880000114440918,2013
3302205,6.590000152587891,0.41999998688697815,0.3700000047683716,0.9900000095367432,1.1399999856948853,0.4300000071525574,6.5,2013
3302304,1.8300000429153442,0.17000000178813934,0.10000000149011612,0.17000000178813934,0.6299999952316284,0.12999999523162842,2.5,2013
3303104,3.869999885559082,0.23999999463558197,0.23999999463558197,0.3100000023841858,0.5600000023841858,0.27000001072883606,3.1500000953674316,2013
3304102,3.490000009536743,0.25,0.23999999463558197,0.3499999940395355,0.8199999928474426,0.27000001072883606,3.0899999141693115,2013
3306156,1.659999966621399,0.14000000059604645,0.10999999940395355,0.09000000357627869,0.6299999952316284,0.14000000059604645,3.0899999141693115,2013
3300159,3.380000114440918,0.2800000011920929,0.14000000059604645,0.3100000023841858,1.0299999713897705,0.23999999463558197,3.4800000190734863,2013
3300902,2.2899999618530273,0.28999999165534973,0.23999999463558197,0.3100000023841858,1.0199999809265137,0.1599999964237213,3.240000009536743,2013
3302106,3.3499999046325684,0.18000000715255737,0.17000000178813934,0.23999999463558197,1.0399999618530273,0.30000001192092896,2.690000057220459,2013
